
9:49:55 AM, mexc: 0.004063, lbank: 0.00397, spread:0.000093, percent: 2.34%
9:49:59 AM, mexc: 0.004063, lbank: 0.00408, spread:0.000017, percent: 0.42%
9:50:03 AM, mexc: 0.004063, lbank: 0.00398, spread:0.000083, percent: 2.09%
9:50:04 AM, mexc: 0.004063, lbank: 0.00397, spread:0.000093, percent: 2.34%
9:50:09 AM, mexc: 0.004081, lbank: 0.00397, spread:0.000111, percent: 2.8%
9:50:15 AM, mexc: 0.004091, lbank: 0.00397, spread:0.000121, percent: 3.05%
9:50:16 AM, mexc: 0.004091, lbank: 0.00398, spread:0.000111, percent: 2.79%
9:50:16 AM, mexc: 0.004091, lbank: 0.00395, spread:0.000141, percent: 3.57%
9:50:19 AM, mexc: 0.004091, lbank: 0.00396, spread:0.000131, percent: 3.31%
9:50:22 AM, mexc: 0.004091, lbank: 0.00399, spread:0.000101, percent: 2.53%
9:50:25 AM, mexc: 0.004091, lbank: 0.00396, spread:0.000131, percent: 3.31%
9:50:27 AM, mexc: 0.004091, lbank: 0.00398, spread:0.000111, percent: 2.79%
9:50:27 AM, mexc: 0.004095, lbank: 0.00398, spread:0.000115, percent: 2.89%
9:50:31 AM, mexc: 0.004095, lbank: 0.00396, spread:0.000135, percent: 3.41%
9:50:32 AM, mexc: 0.00412, lbank: 0.00396, spread:0.00016, percent: 4.04%
9:50:32 AM, mexc: 0.004165, lbank: 0.00396, spread:0.000205, percent: 5.18%
9:50:34 AM, mexc: 0.004165, lbank: 0.00409, spread:0.000075, percent: 1.83%
9:50:34 AM, mexc: 0.004175, lbank: 0.00409, spread:0.000085, percent: 2.08%
9:50:34 AM, mexc: 0.004154, lbank: 0.00396, spread:0.000194, percent: 4.9%
9:50:34 AM, mexc: 0.004147, lbank: 0.00396, spread:0.000187, percent: 4.72%
9:50:35 AM, mexc: 0.004144, lbank: 0.00396, spread:0.000184, percent: 4.65%
9:50:35 AM, mexc: 0.004144, lbank: 0.00409, spread:0.000054, percent: 1.32%
9:50:35 AM, mexc: 0.00414, lbank: 0.00409, spread:0.00005, percent: 1.22%
9:50:36 AM, mexc: 0.004137, lbank: 0.00409, spread:0.000047, percent: 1.15%
9:50:36 AM, mexc: 0.004126, lbank: 0.00409, spread:0.000036, percent: 0.88%
9:50:41 AM, mexc: 0.004126, lbank: 0.00397, spread:0.000156, percent: 3.93%
